Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
,Fiesta,,Petrol,2002.0,127300.0,3074
Porsche,718 Cayman,4.0,Petrol,2016.0,57850.0,49704
Ford,Mondeo,1.6,Diesel,2014.0,39190.0,24072
Toyota,RAV4,,Hybrid,1988.0,210814.0,1705
VW,Polo,1.0,Petrol,2006.0,127869.0,4101
Ford,Focus,1.4,Petrol,,,29204
Ford,Mondeo,1.8,Diesel,,,14350
Toyota,Prius,1.4,Hybrid,2015.0,30663.0,30297
VW,Polo,1.2,Petrol,2012.0,73470.0,9977
Ford,Focus,2.0,Diesel,1992.0,262514.0,1049
VW,Golf,2.0,Diesel,2014.0,83047.0,17173
BMW,Z4,2.0,Petrol,1990.0,293666.0,719
VW,Golf,1.2,Diesel,2007.0,92697.0,7792
,RAV4,2.2,Petrol,2007.0,79393.0,16026
Toyota,Yaris,1.4,Petrol,,97286.0,4046
VW,Golf,1.6,Diesel,1989.0,222390.0,933
Toyota,RAV4,2.4,,2003.0,117425.0,11667
Toyota,Yaris,1.2,Petrol,1992.0,245990.0,720
Toyota,RAV4,2.0,Hybrid,2018.0,28381.0,52671
VW,Polo,1.2,Petrol,1998.0,155038.0,2118
VW,Golf,,Hybrid,1987.0,121744.0,1890
Ford,Mondeo,1.6,,,77584.0,5667
Toyota,Prius,,Hybrid,2003.0,115291.0,6512
Toyota,Prius,1.0,,1990.0,238571.0,961
Porsche,911,2.6,Petrol,2009.0,66273.0,41963
Toyota,Prius,,Hybrid,2017.0,31958.0,38961
Porsche,911,3.5,Petrol,2005.0,151556.0,19747
Toyota,Yaris,1.2,Petrol,2002.0,179097.0,2548
VW,Golf,2.0,Petrol,2020.0,,36387
Toyota,RAV4,,Hybrid,2002.0,66990.0,13553
Ford,Focus,1.0,Hybrid,2010.0,85131.0,12472
Ford,Fiesta,1.0,Petrol,2001.0,144731.0,2503
VW,Polo,2.0,Diesel,,97001.0,8784
VW,Polo,1.6,Petrol,2016.0,52409.0,17257
Ford,Fiesta,1.4,Petrol,2010.0,112714.0,6936
VW,Passat,2.0,,1992.0,198540.0,1964
VW,Passat,1.8,Diesel,1989.0,213162.0,1340
BMW,Z4,2.2,Petrol,,133174.0,8511
VW,Polo,1.6,Petrol,2008.0,129588.0,5848
BMW,Z4,2.0,Petrol,1990.0,148586.0,2637
Ford,Focus,2.0,Petrol,1995.0,91173.0,5181
BMW,M5,4.0,Petrol,2017.0,22759.0,97758
VW,Polo,1.4,Petrol,1990.0,,522
VW,Passat,,Diesel,1995.0,235594.0,1439
BMW,Z4,2.0,Petrol,1995.0,42759.0,7873
VW,Passat,1.8,Diesel,2005.0,103352.0,9633
VW,Passat,1.6,Petrol,2003.0,,10001
Toyota,Yaris,1.0,Petrol,,51787.0,9689
Ford,Fiesta,1.4,Petrol,2014.0,41495.0,14721
Toyota,Yaris,1.4,Petrol,2010.0,,12928
Ford,Fiesta,1.0,Diesel,2017.0,38370.0,16257
Toyota,RAV4,2.4,Petrol,2018.0,24588.0,49125
VW,Polo,1.0,,2000.0,,1480
Ford,Fiesta,1.0,Petrol,1990.0,182958.0,873
VW,Passat,1.6,Diesel,1994.0,114647.0,4008
VW,Polo,1.0,Petrol,1995.0,162993.0,1482
VW,Golf,1.2,Petrol,2002.0,139884.0,3713
Porsche,Cayenne,2.6,Diesel,2015.0,33693.0,54037
BMW,Z4,2.2,Petrol,2004.0,126777.0,8373
Ford,Fiesta,1.2,Petrol,2010.0,51553.0,9813
Toyota,Yaris,1.0,Petrol,2010.0,,8851
VW,Polo,1.4,,2010.0,45193.0,11881
VW,Polo,1.6,Petrol,1997.0,87723.0,3840
Ford,Focus,1.8,Petrol,,279656.0,863
VW,Golf,2.0,Hybrid,2018.0,,36957
Ford,Fiesta,1.2,Petrol,1996.0,111771.0,2543
Toyota,Prius,1.4,Hybrid,2016.0,43893.0,29946
Toyota,Yaris,1.0,Petrol,2007.0,118788.0,5306
Toyota,Prius,1.4,Hybrid,2016.0,43130.0,30085
VW,Passat,1.6,Diesel,1991.0,247911.0,1052
Ford,Focus,2.0,Petrol,1991.0,272161.0,854
VW,Passat,1.6,Diesel,1994.0,179361.0,2371
Ford,Fiesta,1.0,Petrol,,66424.0,7616
,Mondeo,1.8,Diesel,1999.0,104544.0,6058
Toyota,Yaris,,,1999.0,80589.0,4937
Ford,Mondeo,1.4,Diesel,2000.0,128137.0,4771
Porsche,718 Cayman,2.0,Petrol,1992.0,169078.0,3074
VW,Passat,1.6,Petrol,2016.0,64344.0,23641
VW,Passat,1.6,Diesel,1993.0,176456.0,2274
Ford,Focus,1.4,,1985.0,179526.0,1105
Toyota,RAV4,1.8,Hybrid,1999.0,162425.0,5396
Porsche,718 Cayman,2.4,Petrol,2021.0,14070.0,69526
BMW,Z4,2.4,Petrol,1993.0,,1799
Ford,Fiesta,1.2,Petrol,1995.0,183332.0,1330
,Golf,2.0,Petrol,1990.0,,2543
Toyota,Prius,1.0,Hybrid,1993.0,333629.0,478
VW,Passat,1.8,Diesel,1991.0,155034.0,2526
Toyota,Yaris,,Petrol,1990.0,200892.0,947
Ford,Focus,1.8,Petrol,2020.0,22371.0,40336
Ford,Mondeo,1.6,Diesel,2015.0,21834.0,28435
Ford,Focus,1.0,Petrol,1985.0,223615.0,633
Ford,Mondeo,1.6,Diesel,2007.0,100798.0,10008
BMW,Z4,2.4,Petrol,,103758.0,6532
Ford,Fiesta,1.2,Petrol,,,1901
Toyota,Yaris,1.0,Petrol,2008.0,42621.0,9591
VW,Passat,1.4,Diesel,2010.0,64359.0,15563
Ford,Focus,2.0,Petrol,2002.0,180048.0,4086
Ford,Mondeo,1.6,Hybrid,,142689.0,7247
VW,Passat,1.6,Diesel,2018.0,22122.0,36634
BMW,M5,4.4,Petrol,1987.0,226046.0,2956
Ford,Focus,1.4,Petrol,1987.0,236315.0,763
BMW,M5,4.4,Petrol,2008.0,109941.0,31711
Ford,Fiesta,1.0,Petrol,,61615.0,7859
Ford,Focus,1.8,Diesel,1989.0,297635.0,585
Toyota,Prius,1.8,Hybrid,1995.0,112413.0,5238
Ford,Fiesta,1.2,Petrol,2008.0,96911.0,6318
VW,Passat,1.6,Diesel,1990.0,223561.0,1229
VW,Passat,1.4,Diesel,2020.0,21413.0,39310
